"ProcessId","ProcessName","HostProcess","MemoryMB","FileVersion","ExecutablePath","Parameters","StartTime"
"10996","msedgewebview2","M365Copilot.exe","362,15","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=M365Copilot.exe","2025-11-12 09:14:41"
"16072","msedgewebview2","ms-teams.exe","228,76","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=ms-teams.exe","2025-11-12 10:52:07"
"10484","msedgewebview2","WidgetBoard.exe","212,79","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=WidgetBoard.exe","2025-11-12 09:13:03"
"20240","msedgewebview2","WidgetBoard.exe","142,48","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=gpu-process --webview-exe-name=WidgetBoard.exe","2025-11-12 09:13:02"
"5296","msedgewebview2","OUTLOOK.EXE","140,36","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=OUTLOOK.EXE","2025-11-12 13:39:09"
"14976","msedgewebview2","M365Copilot.exe","138,94","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=gpu-process --webview-exe-name=M365Copilot.exe","2025-11-12 09:14:41"
"26284","msedgewebview2","OUTLOOK.EXE","134,63","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=OUTLOOK.EXE","2025-11-12 09:34:57"
"9512","msedgewebview2","CaseBuddyApp.exe","124,82","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=CaseBuddyApp.exe","2025-11-12 13:30:30"
"20080","msedgewebview2","WidgetBoard.exe","116,77","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=WidgetBoard.exe","2025-11-12 09:13:02"
"15148","msedgewebview2","SearchHost.exe","111,34","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=SearchHost.exe","2025-11-12 09:11:59"
"18812","msedgewebview2","OneDrive.exe","105,73","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=OneDrive.exe","2025-11-12 09:14:04"
"15552","msedgewebview2","SearchHost.exe","94,71","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=SearchHost.exe","2025-11-12 09:12:00"
"22016","msedgewebview2","WhatsApp.Root.exe","93,16","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=renderer --webview-exe-name=WhatsApp.Root.exe","2025-11-12 09:15:09"
"8632","msedgewebview2","WhatsApp.Root.exe","79,85","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=WhatsApp.Root.exe","2025-11-12 09:15:08"
"9040","msedgewebview2","M365Copilot.exe","75,72","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--webview-exe-name=M365Copilot.exe","2025-11-12 09:14:41"
"18976","msedgewebview2","CaseBuddyApp.exe","69,48","142.0.3595.76","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe","--type=gpu-process --webview-exe-name=CaseBuddyApp.exe","2025-11-12 13:30:30"
