"ProcessId";"ProcessName";"HostProcess";"MemoryMB";"FileVersion";"ExecutablePath";"Parameters";"StartTime"
"10996";"msedgewebview2";"M365Copilot.exe";"362,24";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=M365Copilot.exe";"2025-11-12 09:14:41"
"10484";"msedgewebview2";"WidgetBoard.exe";"222,01";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=WidgetBoard.exe";"2025-11-12 09:13:03"
"20240";"msedgewebview2";"WidgetBoard.exe";"154,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=gpu-process --webview-exe-name=WidgetBoard.exe";"2025-11-12 09:13:02"
"5296";"msedgewebview2";"OUTLOOK.EXE";"146,02";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=OUTLOOK.EXE";"2025-11-12 13:39:09"
"26284";"msedgewebview2";"OUTLOOK.EXE";"142,45";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--webview-exe-name=OUTLOOK.EXE";"2025-11-12 09:34:57"
"14976";"msedgewebview2";"M365Copilot.exe";"138,93";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=gpu-process --webview-exe-name=M365Copilot.exe";"2025-11-12 09:14:41"
"16072";"msedgewebview2";"ms-teams.exe";"131,72";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=ms-teams.exe";"2025-11-12 10:52:07"
"9512";"msedgewebview2";"CaseBuddyApp.exe";"125,3";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--webview-exe-name=CaseBuddyApp.exe";"2025-11-12 13:30:30"
"20080";"msedgewebview2";"WidgetBoard.exe";"116,91";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--webview-exe-name=WidgetBoard.exe";"2025-11-12 09:13:02"
"15148";"msedgewebview2";"SearchHost.exe";"110,85";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--webview-exe-name=SearchHost.exe";"2025-11-12 09:11:59"
"18812";"msedgewebview2";"OneDrive.exe";"105,58";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--webview-exe-name=OneDrive.exe";"2025-11-12 09:14:04"
"15552";"msedgewebview2";"SearchHost.exe";"94,21";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=SearchHost.exe";"2025-11-12 09:12:00"
"22016";"msedgewebview2";"WhatsApp.Root.exe";"93,5";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--type=renderer --webview-exe-name=WhatsApp.Root.exe";"2025-11-12 09:15:09"
"8632";"msedgewebview2";"WhatsApp.Root.exe";"80,64";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"--webview-exe-name=WhatsApp.Root.exe";"2025-11-12 09:15:08"
