"ProcessId";"HostProcess";"Type";"MemoryMB";"FileVersion";"ExecutablePath";"StartTime"
"16072";"ms-teams.exe";"renderer";"532,18";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 10:52:07"
"10996";"M365Copilot.exe";"renderer";"362,21";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"10484";"WidgetBoard.exe";"renderer";"222";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:03"
"20240";"WidgetBoard.exe";"gpu-process";"154,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"5296";"OUTLOOK.EXE";"renderer";"147,12";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:39:09"
"26284";"OUTLOOK.EXE";"";"144,68";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:34:57"
"14976";"M365Copilot.exe";"gpu-process";"138,93";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"9512";"CaseBuddyApp.exe";"";"125,58";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"20080";"WidgetBoard.exe";"";"116,69";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"15148";"SearchHost.exe";"";"111,09";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:11:59"
