"ProcessId";"HostProcess";"MemoryMB";"FileVersion";"ExecutablePath";"Type";"StartTime"
"16072";"ms-teams.exe";"721,5";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 10:52:07"
"10996";"M365Copilot.exe";"361,85";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:14:41"
"10484";"WidgetBoard.exe";"227,32";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:13:03"
"5296";"OUTLOOK.EXE";"150,7";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 13:39:09"
"20240";"WidgetBoard.exe";"145,39";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 09:13:02"
"26284";"OUTLOOK.EXE";"145,34";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 09:34:57"
"32188";"ms-teams.exe";"142,34";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 10:52:06"
"14976";"M365Copilot.exe";"138,93";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 09:14:41"
"9512";"CaseBuddyApp.exe";"126,42";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 13:30:30"
"20080";"WidgetBoard.exe";"116,58";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 09:13:02"
"33432";"ms-teams.exe";"114,9";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 10:52:06"
"15148";"SearchHost.exe";"110,77";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 09:11:59"
"18812";"OneDrive.exe";"105,66";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 09:14:04"
"15552";"SearchHost.exe";"94,21";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:12:00"
"22016";"WhatsApp.Root.exe";"93,53";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:15:09"
"8632";"WhatsApp.Root.exe";"80,2";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 09:15:08"
"9040";"M365Copilot.exe";"75,49";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"";"2025-11-12 09:14:41"
"18976";"CaseBuddyApp.exe";"69,39";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 13:30:30"
"2852";"SearchHost.exe";"68,63";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 09:12:00"
"27244";"OUTLOOK.EXE";"63,45";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:35:19"
"26504";"OUTLOOK.EXE";"62,6";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 09:34:58"
"29504";"OUTLOOK.EXE";"60,41";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:35:09"
"28764";"CaseBuddyApp.exe";"48,83";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 13:30:30"
"2364";"OneDrive.exe";"46,88";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"gpu-process";"2025-11-12 09:14:04"
"26524";"OUTLOOK.EXE";"42,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"utility";"2025-11-12 09:34:58"
"7308";"OneDrive.exe";"41,82";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:14:04"
"9112";"WidgetBoard.exe";"39,07";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"utility";"2025-11-12 09:13:02"
"468";"CaseBuddyApp.exe";"36,92";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"utility";"2025-11-12 13:30:30"
"19448";"WidgetBoard.exe";"36,79";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"renderer";"2025-11-12 09:13:03"
"15404";"SearchHost.exe";"36,46";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"utility";"2025-11-12 09:12:00"
